state,type,name,city,industries,categories,Address,x,y
Indiana,State,Plainfield Correctional Facility,Plainfield,Laundry; commissary; distribution center; GIS mapping,none,"727 Moon Road, Plainfield, IN 46168",-86.41843537,39.6875719
Indiana,State,Putnamville Correctional Facility,Greencastle,Pallet repair; furniture,furniture,"1946 West U.S. Hwy 40, Greencastle, IN 46135",-86.86112794,39.64399329
Indiana,State,Rockville Correctional Facility,Rockville,Mattresses; clothing; toilet tissue,clothing,"811 W. 50 N, Rockville, IN 47872",-87.25389154,39.77645316
Indiana,State,Wabash Valley Correctional Facility,Carlisle,Plastic recycling; printing services; sewing,recycle,"6908 S. Old U.S. Highway 41, Carlisle, IN 47838",-87.39412903,38.98137963
Indiana,State,Westville Correctional Facility,Westville,Highway signs; plastic recycling,recycle,"5501 South 1100 West, Westville, IN 46391",-86.91356022,41.52523572
Indiana,Federal,FCC Terre Haute,Terre Haute,Clothing; textiles; electronics; fleet solutions,clothing,"4200 Bureau Rd N, Terre Haute, IN 47802",-87.45121537,39.41429277
Iowa,State,Anamosa State Penitentiary,Anamosa,License plates; signs; graphic arts; housekeeping chemicals; filters; metal furniture; custom wood; Braille,"furniture,plates,metal","406 North High Street, Anamosa, IA 52205",-91.28931849,42.11114967
Iowa,State,Iowa Correctional Institution for Women,Mitchellville,Panels; seating; cleaning products; textiles; plastic bags,plastic-bags,"420 Mill Street SW, Mitchellville, IA 50169",-93.36584259,41.6660217
Iowa,State,Iowa State Penitentiary,Fort Madison,Wood furniture,furniture,"3 John Bennett Drive, Fort Madison, IA 52627",-91.32927606,40.63021339
Iowa,State,Mt. Pleasant Correctional Facility,Mt. Pleasant,Wood furniture,furniture,"1200 East Washington, Mt. Pleasant, IA 52641",-91.53654677,40.96377197
Iowa,State,Newton Correctional Facility,Newton,Central commissary,none,"307 S. 60th Avenue W, Newton, IA 50208",-93.05793044,41.6301727
Iowa,State,North Central Correctional Facility,Rockwell City,Equipment refurbishing,none,"313 Lanedale, Rockwell City, IA 50579",-94.61175148,42.39377434
Kansas,State,El Dorado Correctional Facility,El Dorado,Food service; acrylic awards; balloon packaging,food,"1737 SE Us Highway 54, El Dorado, KS 67042",-96.81332403,37.81022367
Kansas,State,Ellsworth Correctional Facility,Ellsworth,Farm equipment; metal products; food service,"food,metal","1607 State St, Ellsworth, KS 67439",-98.23442185,38.74170254
Kansas,State,Hutchinson Correctional Facility,Hutchinson,Wire harnesses; cloth bags; transportation seating; egg production; steel components; food service,food,"500 Reformatory St, Hutchinson, KS 67501",-97.91146431,38.04656229
Kansas,State,Lansing Correctional Facility,Lansing,Chemical; data entry; farm; food service; leather products; embroidery; snow plows; metal fabrication,"food,metal","301 E Kansas Ave, Lansing, KS 66043",-94.89264218,39.24941954
Kansas,State,Larned Correctional Mental Health Facility,Larned,Hydraulic components; furniture; cattle; pet treats,"food,furniture","1318 Kansas 264, Larned, KS 67550",-99.10242312,38.18731797
Kansas,State,Norton Correctional Facility,Norton,Oil field supplies; truck trailers; food service,food,"norton, ks",-99.88892832,39.82864187
Kansas,State,Topeka Correctional Facility,Topeka,Cabinet doors; mattresses; food service,food,"815 SE Rice Rd, Topeka, KS 66607",-95.6230054,39.04027183
Kansas,State,Winfield Correctional Facility,Winfield,Food service; balloon packaging,food,"1806 Pinecrest Cir, Winfield, KS 67156",-96.97552399,37.26448716
Kansas,Federal,USP Leavenworth,Leavenworth,Electronics recycling; services,recycle,"1300 METROPOLITAN, LEAVENWORTH, KS  66048",-94.93493795,39.32777574
Kentucky,State,Blackburn Correctional Complex ,Lexington,Inmate mattresses,none,"3111 Spurr Road, Lexington, Kentucky 40511",-84.53881254,38.11001744
Kentucky,State,Eastern Kentucky Correctional Complex ,West Liberty,Coupon redemption; cabinetry; custom wood products,none,"200 Road to Justice, West Liberty, Kentucky 41472",-83.26706944,37.90557002
Kentucky,State,Green River Correctional Complex ,Central City,Furniture,furniture,"1200 River Road, Central City, Kentucky 42330",-87.11842404,37.31604911
Kentucky,State,KCI Central Office Warehouse and Showroom ,Frankfort,Moving crews; warehouse management; janitorial; grounds maintenance,none,"1041 Leestown Road, Frankfort, KY 40601",-84.81372101,38.18801135
Kentucky,State,Kentucky Correctional Institution for Women ,Pewee Valley,Braille transcription; bulk mail services; janitorial cleansers; warehouse management,none,"3000 Ash Ave., Pewee Valley, Kentucky 40056",-85.48048817,38.30000306
Kentucky,State,Kentucky State Penitentiary ,Eddyville,Inmate clothing,clothing,"266 Water Street, Eddyville, Kentucky 42038",-88.07466023,37.04629147
Kentucky,State,Kentucky State Reformatory ,LaGrange,Metal fabrication; welding; license plates; powder coat paint; recycling,"plates,metal,recycle","3001 W Hwy 146, LaGrange, Kentucky 40032",-85.42162568,38.38929296
Kentucky,State,Little Sandy Correctional Complex ,Sandy Hook,Recycling; upholstery; furniture refurbishing; office seating,"furniture,recycle","505 Prison Connector, Sandy Hook, Kentucky 41171",-83.07484548,38.1366536
Kentucky,State,Luther Luckett Correctional Complex ,La Grange,Printing; embroidery,none,"1612 Dawkins Rd, La Grange, KY 40031",-85.41570826,38.41210392
Kentucky,Federal,FCI Ashland,Ashland,Office furniture,furniture,"539 W Summit Rd, Ashland, KY 41102",-82.70962979,38.44637993
Kentucky,Federal,FCI Manchester,Manchester,Clothing; textiles,clothing,"805 FOX HOLLOW ROAD, MANCHESTER, KY  40962",-83.78748047,37.18168211
Kentucky,Federal,FMC Lexington,Lexington,Electronics; fleet management,none,"3301 LEESTOWN ROAD, LEXINGTON, KY  40511",-84.56635899,38.0978528
Kentucky,Federal,USP Big Sandy,Inez,Clothing; textiles,clothing,"1197 AIRPORT ROAD, INEZ, KY  41224",-82.53881754,37.86655422
Louisiana,State,Allen Correctional Center                ,Kinder,Furniture manufacturing; furniture restoration; chair plant,furniture,"3751 Lauderdale Woodyard Rd, Kinder, LA 70648",-92.7865316,30.56719014
Louisiana,State,Avoyelles Correctional Center          ,Cottonport,Range herd,food,"1630 Prison Rd, Cottonport, LA 71327",-92.03426706,30.97444973
Louisiana,State,David Wade Correctional Center       ,Homer ,Range herd; land and timber management,food,"670 Par Road 244, Homer, LA 71040",-93.05551963,32.79160346
Louisiana,State,Dixon Correctional Institute           ,Jackson,Meat plant; chair plaint; embroidery; uniforms; janitorial; range herd,"clothing,food","5568 Louisiana 68, Jackson, LA 70748",-91.20468682,30.81558379
Louisiana,State,Elayn Hunt Correctional Center      ,St. Gabriel,Chemical plant; garment factory; range herd,"clothing,food","6925 Louisiana 74, St Gabriel, LA 70776",-91.08178124,30.25937778
Louisiana,State,Louisiana Correctional Institute for Women   ,St. Gabriel,Garment factory; janitorial,clothing,"7205 Highway 74, St. Gabriel, LA 70776",-91.07234701,30.26027367
Louisiana,State,Louisiana State Penitentiary         ,Angola,Mattresses; license plates; metal fabrication; printing; row crops; tractor repair,"food,metal","17544 Tunica Trce, Angola, LA 70712",-91.56314958,30.93646963
Louisiana,State,Winn Correctional Center                  ,Atlanta,Garment factory,clothing,"180 Cca Blvd, Winnfield, LA 71483",-92.64013626,31.92584441
Louisiana,Federal,FCC Pollock,Pollock,Clothing; textiles,clothing,"1000 AIRBASE ROAD, POLLOCK, LA  71467",-92.4500923,31.46117767
Louisiana,Federal,FCI Oakdale,Oakdale,Clothing; textiles,clothing,"1507 EAST WHATLEY ROAD, OAKDALE, LA  71463",-92.62870359,30.83223819
Maine,State,Bolduc Correctional Facility,Warren,Woodworking; license plates,plates,"516 Cushing Rd, Warren, ME 04864",-69.21862501,44.06824602
Maine,State,Charleston Correctional Facility,Charleston,Woodshop; wood harvesting,none,"1202 Dover Road, Charleston, ME 04422",-69.09079142,45.09201415
Maine,State,Downeast Correctional Facility ,Machiasport,Garments,clothing,"64 Base Road, Machiasport, ME 04655 ",-67.39687847,44.62814876
Maine,State,Maine Correctional Center,Windham,Woodworking; upholstery; refinishing; embroidery; clothing,"clothing,furniture","17 Mallison Falls Road, Windham, Maine 04062 ",-70.41576938,43.72900304
Maine,State,Maine State Prison,Warren,Upholstery; woodworking; refinishing,furniture,"807 Cushing Rd, Warren, ME 04864",-69.22127558,44.06423803
Maryland,State,Central Maryland Correctional Facility,Sykesville,Cleaning products; laundry,none,"7301 Buttercup Road, Sykesville, Maryland 21784",-76.95738586,39.37182018
Maryland,State,Eastern Correctional Institution,Westover,Furniture restoration; textiles; laundry,furniture,"30420 Revells Neck Rd, Westover, MD 21890",-75.69716873,38.15377365
Maryland,State,Jessup Correctional Institution,Jessup,Office furniture; dorm furniture; library shelving; license plates; uniforms,"clothing,furniture,plates","7804 House of Correction Rd, Jessup, MD 20794",-76.77442023,39.14840468
Maryland,State,Maryland Correctional Institution  - Hagerstown,Hagerstown,Furniture; lockers; fabrication; upholstery; meat production; warehousing; laundry,"food,furniture","18601 Roxbury Road, Hagerstown, Maryland 21746",-77.71853364,39.56334365
Maryland,State,Maryland Correctional Institution  - Jessup,Jessup,Graphics; copy service,none,"7805 House of Correction Rd, Jessup, MD 20794",-76.77435663,39.14838278
Maryland,State,Maryland Correctional Institution for Women,Jessup,Clothing; mailing; data entry; office design,clothing,"7943 Brockbridge Road, Jessup, Maryland 20794",-76.77434364,39.13380567
Maryland,State,Maryland Correctional Training Center,Hagerstown,Work station partitions; furniture assembly; toner remanufacturing,furniture,"18800 Roxbury Rd, Hagerstown, MD 21746",-77.71183983,39.56219333
Maryland,State,North Branch Correctional Institution,Cumberland,Upholstery,furniture,"14100 McMullen Hwy SW, Cumberland, MD 21502",-78.82324381,39.60177451
Maryland,State,Patuxent Institution,Jessup,Street signs; picture frames; laser engraving,metal,"7555 Waterloo Rd, Jessup, MD 20794",-76.78061776,39.16359134
Maryland,State,Roxbury Correctional Institution,Hagerstown,Agriculture; recycling; graphics,"food,recycle","18701 Roxbury Rd, Hagerstown, MD 21746",-77.71519493,39.56273989
Maryland,State,Western Correctional Institution,Cumberland,Laminated components for furniture items; laundry,furniture,"13800 McMullen Hwy SW, Cumberland, MD 21502",-78.81882799,39.60808981
Maryland,Federal,FCI Cumberland,Cumberland,Services,none,"14601 BURBRIDGE RD SE,CUMBERLAND, MD  21502",-78.75300329,39.59691287
Maryland,Federal,National Capital Recycling Center,Landover,Recycling collection,recycle,"3601 Pennsy Drive, Landover, MD 20785",-76.89015832,38.93143218
Massachusetts,State,Massachusetts Treatment Center,Bridgewater,Silkscreen; validation; sign shops,none,"30 Admin Rd, Bridgewater, MA 02324",-70.95599499,41.94461707
Massachusetts,State,MCI-Cedar Junction,Walpole,License plates,plates,"2405 Main St, Walpole, MA 02081",-71.28698404,42.10568677
Massachusetts,State,MCI-Framingham,Framingham,Flag shop; embroidery shop,none,"99 Loring Dr, Framingham, MA 01702",-71.40971224,42.26829272
Massachusetts,State,MCI-Norfolk,Norfolk,Binder shop; cost office; clothing shop; janitorial shop; maintenance; metal shop; furniture shop; upholstery,"clothing,furniture,metal","2 Clark St, Norfolk, MA 02056",-71.30372429,42.12142098
Massachusetts,State,MCI-Shirley,Shirley,Sewing shop,none,"1 Harvard Rd, Shirley, MA 01464",-71.65701523,42.54303666
